portal_name,date,tag,link,header,article
err,22.05.2020 12:39,Eesti,https://www.err.ee/1093296/stamberg-keskerakond-teab-vaga-hasti-kes-on-nende-valija,"Stamberg: Keskerakond teab väga hästi, kes on nende valija","Viimases erakondade toetuste uuringus oli Keskerakonna toetus tõusnud 27 protsendi peale, mis Stambergi sõnul tuleneb aasta alguses läbi viidud reformide vastukajast. Eriolukorra saabudes on aga valitsus rohkem kajastatud olnud ja seetõttu ka toetus kasvanud.""Kui vaatame ajas tagasi, siis nägime aasta alguses mitut suurt reformi laual. Apteegireform oli laual, pensionireform oli laual. Kui vaatame Keskerakonna toetust, siis ilmselgelt needsamad sekeldused aasta alguses toetust võib-olla natuke langetasid. Aga 12. märtsist (eriolukorra algusest – toim.) tuli järjest otsuseid vastu võtta, valitsus oli koguaeg meedias esipildil,"" kommenteeris Stamberg.Teisalt, kui EKRE toetus oli uuringu põhjal märtsikuus 20 protsenti, siis maikuus oli toetus langenud 15 protsendile, Stambergi sõnul on EKRE toetusele mõju andnud väljaütlemised ja seisukohad eelkõige maainimeste lisatööjõu palkamise osas.""Pigem näen, et EKRE on kaotanud neidsamu maainimeste hääli ja samas Keskerakond on võitnud nende inimeste hääli, kes peavad sõnumeid, mida peaminister meedias välja ütleb, väga usutavateks. Traditsiooniliselt Keskerakonnal on vanemate inimeste seas tugev toetus. Ma arvan, et see on isegi veel tugevamaks nüüd läinud,"" viitas StambergSamas ei saa EKRE toetuse viieprotsendilist langust võtta aga nii, et kõik need inimesed on nüüd asunud toetama Keskerakonda, ütles Stamberg.""Näeme ka seda, et Reformierakonna eelmise kuu 27 protsendist on saanud 30 protsenti, loomulikult need liikumised ei ole drastilised, nad ei ole suured, aga mingisugust suunda need näitavad,"" lisas Stamberg. "
err,28.09.2020 19:40,Viipekeelsed,https://www.err.ee/1140613/viipekeelsed-uudised,Viipekeelsed uudised,
err,11.07.2020 20:08,Tennis,https://sport.err.ee/1111972/vladimir-ivanov-tuli-kolmekordseks-eesti-meistriks,Vladimir Ivanov tuli kolmekordseks Eesti meistriks,"Vihmase ilma tõttu peeti viimased kohtumised Tallinki siseväljakutel. Neist esimeses võitsid Vladimir Ivanov ja Mattias Siimar teist asetust omanud Daniil Glinkat ja Kenneth Raismad tulemusega 6:7 (12), 6:0, 6:1.Päeva teises kohtumises pälvis Ivanov tänavuse kolmanda Eesti meistri tiitli, kui alistas koos Elena Malõginaga neljanda asetusega Robin Erik Partsi ja Liina Suurvariku tulemusega 7:6 (6), 6:2. Kui Ivanov sai sellel aastal kolm kulda, siis Malõgina kaks, sest ta võitis reedel esmakordselt esikoha ka naiste üksikmängus. "
err,10.10.2020 18:17,Välismaa,https://www.err.ee/1145484/korgozstani-parlament-kinnitas-sador-dzaparovi-uueks-peaministriks,Kõrgõzstani parlament kinnitas Sadõr Džaparovi uueks peaministriks,"Erakonna Mekentšil asutaja Džaparovi ettepanekul jättis parlament valitsuse koosseisu ja struktuuri muutmata.Džaparov rõhutas laupäeval, et Venemaa on ja jääb Kõrgõzstani strateegiliseks partneriks.""Me jagame ajaloolisi sidemeid Venemaaga. Venemaa on ja jääb meie peamiseks strateegiliseks partneriks,"" ütles ta.Kõrgõzstani president Sooronbaj Džeenbekov rahuldas reedel valitsuse tagasiastumise palve ning teatas, et on valmis ise ametist lahkuma selleks, et teha lõpp valimisjärgsele kaosele riigis.Peaminister: Kõrgõzstani president võib lähipäevil tagasi astudaKõrgõzstani president Sooronbaj Džeenbekov allkirjastab järgmise kahe-kolme päeva jooksul tagasiastumisavalduse, ütles laupäeval riigi uueks peaministriks kinnitatud Sadõr Džaparov ajakirjanikele.""Kõnelustel Džeenbekoviga ütles ta, et kui parlament on uue peaministri heaks kiitnud, allkirjastab ta kahe või kolme päeva jooksul tagasiastumisavalduse,"" ütles Džaparov.Kõrgõzstanis puhkes pühapäevaste valimiste järel poliitiline kaos. Pealinnas Biškekis algasid pärast parlamendivalimiste algsete tulemuste teatavakstegemist esmaspäeval kokkupõrked, mis tipnesid valitsusasutuste hõivamise ning vangistatud endiste poliitikute vabastamisega teisipäeval.Protestid vallandusid, kui mitu opositsioonierakonda teatas, et ei tunnista valimistulemusi, sest need on võltsitud ja valimistel toimus arvukalt rikkumisi.Teisipäeval teatas oma tagasiatumisest riigi senine peaminister Kubatbek Boronov. "
err,29.01.2021 09:55,Raadiouudised,https://www.err.ee/1608091339/kagupiiri-uletajate-arv-on-oluliselt-langenud,Kagupiiri ületajate arv on oluliselt langenud,Piiriületajate arvu vähenemise on põhjustanud Eestis ja Venemaal kehtivad koroonapiirangud. Leevi Lillemäe 
err,15.03.2021 16:50,Eesti,https://www.err.ee/1608143044/haigekassa-lisab-remdesiviri-enda-rahastatud-ravimite-nimekirja,Haigekassa lisab Remdesiviri enda rahastatud ravimite nimekirja,"""See ravim läheb haigekassa enda poolt rahastatavate ravimite loetellu alates aprillikuust. Haiglatel on võimalik ka seda sealtkaudu vajadusel tellida,"" kinnitas Kiik ERR-ile.Lisaks on plaanis Remdesiviri hankida 2021. aasta lisaeelarve rahastusega.Haigekassa juht Rain Laane kinnitas ERR-ile, et Remdesivir läheb haigekassa hinnakirja alates 1. aprillist. ""Siis saame tasuda selle eest otse haiglatele, kui nad seda ravimit hulgimüügist ise soetavad,"" lisas ta.Laane selgitas, et Remdesivir aitab koroonahaigetel haiglast kiiremini välja saada ja on seetõttu tähtis haiglate koormuse vähendamisel.""On tavapärane, et haigekassa tasub ravimite eest, mida haiglates kasutatakse. Nii saab see edaspidi olema ka remdesiviiri puhul. Ravimi lisamist loetellu toetas ka haigekassat nõustav ravimikomisjon, kes tuvastas, et ravim on efektiivne, õigel kasutamisel ohutu ning selle kasutamine on ka majanduslikult mõistlik,"" rääkis Laane.
										Remdesiviiri soetamine hakkab haiglate lepingumahtu sööma (1) ""Loomulikult on ka vajadus praeguses olukorras sellise ravimi järele väga suur. Seega vastas ravim kõikidele ravikindlustuse seaduses toodud nõudmistele,"" lisas ta.Isikukaitsevahendite varud on piisavadKiik rääkis, et isikukaitsevahendite osas on olukord hea, riigi ja haigekassa rahastusel soetatud isikukaitsevahendite reservid on piisavalt suured.Samuti on Kiige sõnul haigekassa eelarves vahendeid varude pidevaks uuendamiseks.Kiige sõnul on valitsuses tehtud otsus hakata riigi kesksest varust isikukaitsevahendite jagamine kohalike omavalitsuste asutustele ja toimetuleku raskustes inimestele.""Selle reservi kasutamise põhimõtted ja loogika on see, et meil ei ole mõistlik hoida riiklikus varus miljoneid isikukaitsevahendeid, vaid pigem neid kriisi ajal ikkagi kasutada,"" rääkis Kiik.Riigihalduse minister Jaak Aab lisas, et keskses varus on vahendeid piisavalt.""Näiteks 10 miljonit maski, respiraatorit ja muid erinevaid vahendeid. Me oleme ka välja jaganud. Hooldekodudele jagasime eelmisel nädalal veel kaks miljonit, kohalikele omavalitsustele miljon,"" rääkis Aab.Tanel Kiik rääkis ka, et seni ei ole temani haiglatelt isikukaitsevahendite teemal abipalveid jõudnud.""Laiemalt võib öelda, et praegu maailmas on isikukaitsevahendite tootmisvõimsused ülikõrged, seda ka Eesti pinnal, võrreldes pandeemia eelse ajaga,"" ütles Kiik veel.  "
err,04.11.2020 16:52,Tennis,https://sport.err.ee/1154943/hooaja-vahele-jatnud-us-openi-voitja-naaseb-uuel-aastal-valjakutele,Hooaja vahele jätnud US Openi võitja naaseb uuel aastal väljakutele,"Andreescu käis viimati väljakul täpselt aasta tagasi lõppenud WTA finaalturniiril Shenzhenis, kus vigastas vasakut põlve. See jättis ta eemale tänavustest Austraalia lahtistest, siis tabas maailma koroonapandeemia, mille tõttu ei reisinud ta New Yorki US Openi tiitlit kaitsma. Pärast seda teatas Andreescu, et jätab vahele ka liivahooaja.""Mul läheb väga hästi,"" teatas 20-aastane Kanada esinumber kolmapäeval. ""Viirus ja mõned isiklikud sündmused olid mulle tagasilöögiks, kuid praegu on hästi, treenin kõvasti. Ootan väga järgmist hooaega. Olen täie tervise juures - tahtsin lihtsalt võtta aega oma elus kõik paika seada ja eemaloldud periood andis mulle selle võimaluse.""""Olen sajaprotsendilise kindlusega Melbourne'is kohal, et aasta esimesel slämmiturniiril mängida,"" lisas Andreescu. ""Ma ei ütleks, et olen valmis homme väljakule minema, sest võtan seda samm-sammult, aga ehk paari nädala pärast on kõik korras.""Andreescu alustas 2019. aastat maailma 152. numbrina, kuid võitis augustis ja septembris 16 matši järjest - kaasa arvatud US Openi finaali - ning tõusis WTA edetabelis viiendaks. Hooaja lõpus pärjati teda Kanada aasta sportlase auhinnaga. "
err,28.07.2020 16:21,Välismaa,https://www.err.ee/1117782/lati-tahab-saada-uro-julgeolekunoukogu-ajutiseks-liikmeks,Läti tahab saada ÜRO Julgeolekunõukogu ajutiseks liikmeks,"Läti ei ole Julgeolekunõukogus kunagi olnud, sestap kandideerib ta 2025. aasta valimistel mittealaliseks liikmeks.Esmaspäeval Jurmalasse presidendi residentsi kogunenud diplomaadid, välispoliitikaeksperdid ja vabaühenduste esindajad arutasid Läti huve ÜRO-s.""Esmaseks ülesandeks on, kuidas pääseda Julgeolekunõukokku. Teiseks, tuleb mõelda, mida me seal teeme, kui meid valitakse,"" ütles president Egils Levits.Lätil on Julgeolekunõukokku pääsemiseks vaja ÜRO 193 liikmesriigist vähemalt kahe kolmandiku ehk 129 riigi toetust. President tõdes aga, et enamik maailmast ei tea Lätist suurt midagi.""Läti tuntuks tegemiseks on vaja palju tööd. Mitte Läti kui sellise, vaid selle, mida Läti soovib, milline oleks tema panus. See peab huvitama neid 129 riiki, sest miks nad muidu Läti poolt hääletaksid,"" ütles Levits.Läti sai ÜRO liikmeks 1991. aastal. ÜRO Julgeolekunõukogu koosneb viiest vetoõigusega alalisest liikmest – USA-st, Prantsusmaast, Venemaast, Hiinast ja Suurbritanniast – ning kümnest kaheks aastaks valitavast ajutisest liikmest.Diskussiooni osalised rääkisid, et Läti 30 iseseisvusaastat näitavad, et Läti on valmis globaalseteks väljakutseteks.""Me saime hakkama rahanduskriisiga. Me oleme reageerinud väga hästi COVID-19 kriisile. Ma arvan, et järgmine suur kriis on kliimamuutus,"" lausus Läti noorsoodelegaat ÜRO-s Otto Davidovs. Julgeolekunõukogu valimisteks valmistudes loodab Läti õppida praegu nõukokku kuuluva Eesti kogemustest.Leedu on samuti selle prestiižika ÜRO laua taga istunud. Eksperdid rõhutasid, et kuigi valimised leiavad aset alles viie aastra pärast, tuleb ettevalmistustega alustada juba praegu. "
err,29.09.2020 18:47,Jalgpall,https://sport.err.ee/1141010/u-21-koondist-ootavad-ees-valikmangud-venemaa-ja-serbiaga,U-21 koondist ootavad ees valikmängud Venemaa ja Serbiaga,"U-21 koondis sai septembrikuises aknas juurde ühe punkti, kuid pärast Pärnus saadud kaotust Poolale viigistati võõrsil 1:1 Lätiga. Läti üle on Eestil ette näidata ka kodune 2:1 võit, mis jätab lõunanaabrid alagrupis Eesti seljataha. Venemaa on alagrupi liider kaheksast mängust teenitud 17 punktiga. Mängu vähem pidanud Poola jääb neist hetkel maha ühe punktiga. Grupi keskmikeks on Bulgaaria seitsmest mängust teenitud 11 punktiga ja Serbia kaheksast mängust kirja saadud kaheksa punktiga. Eestil ja Lätil on seitsmest mängust kirjas neli punkti.U-21 koondise peatreener Igor Prins kutsus laagrisse 23 mängijat. Vigastuse tõttu jääb kohtumistest eemale keskkaitsja Marko Lipp, U21 koondise vanuseklassist pääses A-koondisesse seitse mängijat ning samuti ei liitu meeskonnaga äsja Veliko Tarnovo Etariga käed löönud Mark Edur.
										Jalgpalliliit kinnitas meeste tippliigade koosseisud									Venemaa – Eesti kohtumine peetakse Himki Arenal 9. oktoobril kell 18.00. Eesti – Serbia matš leiab aset 13. oktoobril kell 16.00 Jurmala Sloka staadionil.Eesti U-21 koondis mängudeks Venemaa ja Serbia vastu:VäravavahidKarl-Romet Nõmm (04.01.1998) – Viljandi JK TulevikKarl Andre Vallner (28.02.1998) – JK Tallinna KalevKristen Lapa (11.02.2000) – Tallinna FC FloraKaitsjadKristjan Pelt (12.07.2001) – Paide LinnameeskondMairo Miil (15.02.2000) – FC KuressaareRasmus Saar (02.03.2000) – FC KuressaareMartin Käos (18.06.1998) – JK Narva TransMagnus Villota (11.02.1998) – Pärnu JK VaprusDaaniel Maanas (05.01.2000) – Tartu JK TammekaMarkkus Seppik (16.04.2001) – Tallinna FC FloraAlex Roosalu (04.05.1999) – Viljandi JK TulevikPoolkaitsjad ja ründajadKarl Rudolf Õigus (05.11.1998) – Tallinna FCI LevadiaKaarel Usta (03.11.1999) – Nõmme Kalju FCRaimond Eino (15.02.2000) – FC Nõmme UnitedMattias Männilaan (08.09.2001) – FC Kuressaare (laenul FC Florast)Joonas Soomre (17.05.2000) – FC KuressaareMarkus Poom (27.02.1999) – Tallinna FC FloraHenri Välja (04.11.2001) – Tallinna FC FloraSten Reinkort (29.04.1998) – Tartu JK TammekaArtur Uljanov (25.03.1999) – Tartu JK TammekaMihkel Järviste (28.05.2000) – Tartu JK TammekaKristjan Kask (05.07.1999) – Viljandi JK TulevikMartin Pärn (27.11.1998) – Vändra JK Vaprus "
err,04.04.2021 18:55,ETV uudised,https://www.err.ee/1608165334/aktuaalne-kaamera-kell-18-30,Aktuaalne kaamera kell 18:30,
