;X.102;X;pealkiri;url;rubriik;kuupaev;sisu;X.1;X.2;X.3;X.4;X.5;X.6;X.7;X.8;X.9;X.10;X.11;X.12;X.13;X.14;X.15;X.16;X.17;X.18;X.19;X.20;X.21;X.22;X.23;X.24;X.25;X.26;X.27;X.28;X.29;X.30;X.31;X.32;X.33;X.34;X.35;X.36;X.37;X.38;X.39;X.40;X.41;X.42;X.43;X.44;X.45;X.46;X.47;X.48;X.49;X.50;X.51;X.52;X.53;X.54;X.55;X.56;X.57;X.58;X.59;X.60;X.61;X.62;X.63;X.64;X.65;X.66;X.67;X.68;X.69;X.70;X.71;X.72;X.73;X.74;X.75;X.76;X.77;X.78;X.79;X.80;X.81;X.82;X.83;X.84;X.85;X.86;X.87;X.88;X.89;X.90;X.91;X.92;X.93;X.94;X.95;X.96;X.97;X.98;X.99;X.100;X.101
47176;47176;46837;Semetron ostab Skype'i asutajatelt meditsiinifirma;https://www.postimees.ee/7020137/semetron-ostab-skype-i-asutajatelt-meditsiinifirma;Majandus;17.07.2020, 17:43 ;Margus Linnamäe ja Ivar Vendelini valdusfirmasse MM Gruppi kuuluv meditsiiniseadmete ja -tarvikute turustamisega tegelev AS Semetron ostab samas valdkonnas tegutseva ettevõtte OÜ InBio, mille kontrollosalus kuulub Skype'i asutajate investeerimisfirmale Ambient Sound Investments.Koondumise peamiseks põhjuseks on Semetroni soov suurendada oma turuosa nimetatud valdkonnas, selgub konkurentsiametile esitatud koondumisteatest.InBio tegeleb meditsiiniseadmete ja -tarvikute impordi, reklaami, distributsiooni ja turustamise vallas Eestis, Lätis ja Leedus. InBio tütarettevõtted on Laboripartner OÜ Eestis, InBio SIA Lätis ja InBio UAB Leedus.Põhilised koostööpartnerid on Baltikumi suurimad haiglad, mida varustatakse haiguste diagnostikaks vajalike seadmete ja diagnostikumidega, samuti vastutavad InBio ja selle tütarettevõtted diagnostikaseadmete pideva töökorras oleku eest.Koondumise tulemusena omandab Semetron 100-protsendilise osaluse InBios ja saab sellega ainukontrolli ettevõtte üle.Koondumise tulemusena tekib horisontaalne kattuvus meditsiiniseadmete ja -tarvikute müügi ning hoolduse valdkonnas, kus poolte ühine turuosa ei ületa 15 protsenti. Koondumisel puuduvad olulised vertikaalsed seosed, kus turuosa ületaks 25 protsenti.InBio pole 2019. aasta majandusaasta aruannet esitanud, tunamullu teeniti ligi 3,9 miljoni eurose käibe juures umbes 58 000 eurot puhaskasumit. Ettevõttes töötas töötamise registri andmetel juuni lõpu seisuga 14 inimest.MM Grupp OÜ on valdusfirma, millele kuuluvad ettevõtted tegutsevad muu hulgas tervishoiu-, meedia-, kinnisvara-, jaekaubanduse- ning jaeteeninduse valdkondades.Kontserni omanikud on 78 protsendiga Margus Linnamäe, 20 protsendiga Ivar Vendelin ja 2 protsendiga Aare Kurist. Kontserni kuulub ka Postimees Grupp ja uudisteagentuur BNS.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17877;17877;17875;Ville Arike: Jüri Jaanson peaks mäletama Nõukogude Liidu koondise võlu;https://www.postimees.ee/7154161/ville-arike-juri-jaanson-peaks-maletama-noukogude-liidu-koondise-volu;Arvamus;13.01.2021, 00:03 ;Üks rahvahääletuse muudatusettepanekule Kas Eesti Vabariigis oleks parem elada, kui Eesti Vabariik kuuluks Venemaa koosseisu? alla kirjutanu, endine tippsõudja Jüri Jaanson peaks mäletama Nõukogude Liidu koondise võlu.Järgnevalt mõni tsitaat 1988. aasta Souli olümpiamängude raamatust.Kirjeldab olümpial kohtunikuna tegutsenud endine NSV Liidu koondislane, hilisem Eesti sõudeliidu president Peeter Mardna: Meie süsteemi õnnetus on selles, et peab kogu aeg võitma. /---/ Pead kogu aeg tõestama, et oled väärt koondises olema. Selle peale läheb suur osa energiast, sellega kaasneb pidev ebakindlusetunne. Mäletan, kuidas meile kolm päeva enne 1969. aasta MMi algust veel üks katsesõit tehti.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30925;30925;30922;Ihaste metsatüli kisub inetuks: vandaalid lõikasid aia lõhki;https://www.postimees.ee/7094007/ihaste-metsatuli-kisub-inetuks-vandaalid-loikasid-aia-lohki;Tartu Postimees;25.10.2020, 15:35 ;Möödunud nädala kolmpäevaks sai Ihaste metsa piirava aia viimased postid maasse ja väravavõre ette, kuid justkui üle öö ilmusid aeda kaks suurt auku.Justkui teravate traaditangidega lõigatud, ütles üks omanikke ja Vennad Ehituse tegevdirektor Agu Mutli. Miks võisid vandaalid aeda augud teha? Ma ei taha sellele ootusele vastata, et metskitsed tahtsid aia august läbi joosta, vaid küllap keegi tahab seal lihtsalt käia ja näidata, et seadus ei ole tema jaoks, ütles Mutli. Punume traadiga aia kinni, aga kui lõpuks inimese kätte saame, kes selle katki tegi, eks tema siis ehitab ja paigaldab jälle uue väravavõrgu.  Multi tegi reedel ka politsesse avalduse. Lisaks ilmusid aia peale hoiatavad videovalvet märgistavad sildid. Järgmine kord ilmselt tuvastame lõhkuja, ütles Mutli.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33436;33436;33098;Soomlased jooksevad koolivaheajal oma puhkemajakestele tormi;https://www.postimees.ee/7083744/soomlased-jooksevad-koolivaheajal-oma-puhkemajakestele-tormi;Maa Elu;12.10.2020, 09:21 ;Kuigi suvemajad ja metsamajad oktoobris tavaliselt Soomes siseturiste ei meelita, siis sel kuul on huvi nende vastu olnud kaks korda suurem kui tavaliselt.Paljud Soome õpilased alustasid esmaspäeval nädalapikkust sügisvaheaega ja kevadel seoses koroonaviirusega alguse saanud suur huvi kodumaise ja looduslähedase puhkusevõimaluste järgi ei paista seetõttu lõppevat, kirjutab Yle.fi.Sel suvel kasvas meie külastatavus mullusega võrreldes 40–50 protsenti ja sügisvaheaja üürid on umbes kahekordistunud, ütles Juha-Pekka Olkkola, kes juhib rendimajutust vahendavat ettevõtet Lomarengas.Suurem osa puhkemajakesi rentivatest klientidest on lastega pered.Huvi metsapuhkuse vastu on üle riigi ühtlaselt jaotunud, ehkki viimase hetke broneeringute tegijad soovivad Olkkola sõnul jääda kodu lähedale.Kui olete valmis reisima kaugemale põhja poole, on alati midagi saadaval, ütles ta ja lisas, et unistuste metsamajakesed napsati kiiresti ära.Heikki Nyman ütles, et tema rannaäärne puhkemaja Kirkkonummis, umbes 30 kilomeetri kaugusel Helsingist, meelitab kohale palju peresid pealinna piirkonnast. Populaarsed on ka looduse lähedal asuvad hotellid.Kuigi Eesti pealinn Tallinn on sügishooajal soomlaste seas tavaliselt populaarne sihtkoht, siis sel aastal pole see nii, sest reisijad ei taha pärast koju tulekut karantiinis viibida.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17422;17422;17420;Eesti tankurid mõõdavad klientide kasuks;https://www.postimees.ee/7156340/eesti-tankurid-moodavad-klientide-kasuks;Tarbija;15.01.2021, 10:05 ;Tarbijakaitse ja tehnilise järelevalve amet (TTJA) tuvastas, et Eesti tankurid mõõdavad pigem kliendi kasuks ning suuri eksimusi ei esinenud.Lõppenud aasta detsembris kontrollis TTJA 100 tankuri mõõtmisõigsust 50 juhuslikult valitud tanklas. Bensiini E10 (95) ja B7 (diislikütus) mõõtmist kontrolliti kahel kogusel ehk tankuri minimaalse mõõdetava koguse järgi sõltuvalt tankurist kas 2 või 5 liitrit ning samuti 50 liitrise koguse täpsust.Kontrollmõõtmiste tulemused näitasid, et tankurid on korras, märkis TTJA tehnika valdkonna nõunik Priit Poschlin. Leidus ka tankureid, mis mõõtsid minimaalse mõõdetava koguse korral kliendi kahjuks, aga 50 liitri korral jälle samas suurusjärgus kliendi kasuks. Nii minimaalse mõõdetava koguse korral kui ka 50 liitri tankimise korral eksisid 100 tankurit keskmiselt kliendi kasuks. Kokkuvõttes võib öelda, et lubatust rohkem kliendi kahjuks mõõtnud tankureid kontrolli käigus ei leitud.Kokku viiekümnes TTJA juhuslikult valitud tanklas tegi kontrollmõõtmist Eesti AS Metrosert. Juhuvalikust jäeti logistilistel põhjustel välja saartel asuvad tanklad ja sõltumatuse tagamise huvides ASi Metrosert taadeldud tankurid. Valimisse sattunud ja kõige rohkem kliendi kasuks eksinud tankur asub Tartus ning kõige täpsemini näitas Maardu tankur. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66482;66482;66139;Väärt kraam!  Rein Raua kultuurisoovitused;https://www.postimees.ee/6928105/rein-raua-kultuurisoovitused;Kultuur;19.03.2020, 19:31 ;Ajal, kus paljud selle maailma vägevad ei suuda jahmatavate muutustega vaimus sammu pidada ja senise korra alustalad ähvardavad üleöö tolmuks pudeneda, on mõtet pöörata pilk kõige selle poole, mis oma väärtust ei kaota. Ja polegi nii väga oluline, kas see on mõeldud inimhinge põhjani raputama või kergeks meelelahutuseks — mis on hea, see on hea.1. Paksud raamatudEks on päris paljudel meist raamaturiiulil mõni paks raamat ootamas aega, kui on see võimalik rahulikult kätte võtta. See aeg on nüüd käes. On aeg võtta kätte see teos, mida olete pidevalt edasi lükanud, olgu see siis Marcel Prousti Kadunud aega otsimas või George R.R. Martini Jää ja tule laul. Ise kiikan riiulis Flauberti romaani Bouvard ja Pécuchet. NB! Thomas Manni Võlumäest võiks selles sisalduva ereda kopsu-horrori tõttu ka eemale hoida, aga kui satute olema viirusedüstoopiate harrastaja, siis laske muidugi käia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51238;51238;50899;KAART  Maa-amet pani Vabadussõja monumendid kaardile;https://www.postimees.ee/7000991/maa-amet-pani-vabadussoja-monumendid-kaardile;Eesti;19.06.2020, 15:27 ;Maa-amet lisas võidupüha eel kaardirakendusse Vabadussõja monumentide kaardikihi.Maa-ameti geoinfosüsteemide büroo juhataja Sulev Õitspuu ütles, et tänavu viiruseohu tõttu Kaitseliidu võidupüha paraadi ja maakaitsepäevi ei toimu. Seega otsustasime huvilistele pakkuda Eesti Vabadussõja monumentide virtuaaltuuri, märkis Õitspuu. Kaardirakenduses on monumentidele lisatud infopäring, kus on link kaldaerofotodele, et pärast asukoha kindlaks tegemist saaks monumenti linnulennult vaadata.Vabadussõja monumentide kaarti saab vaadata SIIT. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3288;3288;3288;Tartu liinilendude taasavamist pole enne tulevat aastat loota;https://www.postimees.ee/7219607/tartu-liinilendude-taasavamist-pole-enne-tulevat-aastat-loota;Tartu Postimees;8.04.2021, 00:00 ;Pärast seda, kui Finnair koroonaepideemia tõttu mullu märtsis Tartusse lendamise lõpetas, on siinne lennujaam oma üheksa töökoha säilitanud töötajaga jätkanud võrdlemisi tühikäigul. Mingil määral annavad rakendust õppelennud, mida on 10–12 päevas, ning harvad tellimuslennud, näiteks selleks nädalaks polnud eilse teadmise järgi kavandatud ühtki.Lennujaam töötab äripäeviti kell 9–17, töövälisel ajal lende teenindada on võimalik, kui sellisest vajadusest teatada vähemalt kaks tundi ette ja kui siis töötajad saavad kohale tulla, nentis eile lennujaama käitusjuht Roman Kulikov.Kui võimalik, üritame teenindada, kinnitas ta. Aga vaja pole selleks mitte üksnes lennujaama töötajaid, vaid ka lennujuhte ja sünoptikuid.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41596;41596;41257;PILDID JA VIDEO  Californialased võitlevad tulega ega anna alla;https://www.postimees.ee/7046465/californialased-voitlevad-tulega-ega-anna-alla;Uudised;25.08.2020, 09:48 ;Ameerika Ühendriikides California osariigis on juba mõnda aega kestnud metsa- ja maastikupõlengud, mille kustutamine on kuumuse ja kuivuse tõttu keeruline. Põlengute tekkes mängis rolli troopiline torm Fausto, millega kaasnes tugev äike.USA meedia teatel on kahjutuld kustutamas sajad tuletõrjujad, kelle sõnul on neil ressurssidega kitsas ning nende tööd takistavad inimesed, kes ei allu evakuatsioonikäsule ja on jäänud oma koju. Kustutajate sõnul soodustab inimeste allumatus tule levikut.Lisaks toimuvad kustutustööd õhust, kus lennukitelt visatakse põlengualadele vett ja kustutavaid aineid. Kuid kui kustutusalal märgatakse inimesi, tuleb töö katkestada.Tuletõrjujad ei saa vett kätte, sest osas piirkondades, kaasa arvatud suure põlengualaga San Lorenzo orus, on kuumus veetorusid sulatanud ja vee saamine on katkenud. Kustutajad peavad tsisternautodega transportima kustutusvee kümnete kilomeetrite taha.California osariigis on põlengualadelt evakueeritud kümneid tuhandeid inimesi. Osa on läinud vaatama, mis on nende kodust saanud ning paljud on leidnud eest vaid varemed.Tuletõrjujad loodavad, et ilm muutub ja tuleb vihma, siis võivad nad kahjutule kontrolli alla saada.USA meteoroloogide ja klimatoloogide sõnul on California maastiku- ja metsapõlengute hooaeg augustist novembrini, kui on väga kuum ja on tugevad tuuled.Põhja-Californias lõppevad põlengud tavaliselt oktoobri alguses, kui saabuvad talvetormid koos paduvihmaga. Lõuna-Californias on põlengute lõpp oktoobri lõpust detsembrini.California metsanduse ja tulekahjude ennetamise ameti teatel oli 24. augusti seisuga 7012 põlengut 612 972 hektari suurusel alal.Põlengutes on hukkunud kuus inimest, sajad on saanud vigastada ning elu on kaotanud palju karja-, lemmik- ja metsloomi.California kuberner Gavin Newsom kehtestas 18. augustil osariigis eriolukorra.Californialaste sõnul on nad ka varem raskes olukorras olnud ja kodusid kaotanud, kuid nad on toime tulnud ja oma elu taas üles ehitanud. Ka seekord ei anna nad alla.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65089;65089;64746;Suured mobiilsideoperaatorid analüüsivad ise oma klientide liikuvust;https://www.postimees.ee/6935047/suured-mobiilsideoperaatorid-analuusivad-ise-oma-klientide-liikuvust;Eesti;27.03.2020, 14:20 ;Tagamaks kriisikomisjonile kiire ülevaade, kas inimesed täidavad liikumispiiranguid, otsustasid Elisa, Tele2 ja Telia analüüsida ise enda klientide liikumist. Analüüsi tegemiseks kasutatakse täielikult anonüümseid andmeid, mis ei ole reaalaja andmed.Mobiilioperaatorite analüüsi tulemused koondab statistikaamet, kes loob tervet Eestit katva pildi. Esimesed tulemused loodetakse saada järgmise nädala jooksul. Otsuse taga on operaatorite kohustus kaitsta isikuandmeid ja tagada andmete anonüümsus. Statistikaameti peadirektor Mart Mägi sõnul on kriisikomisjoni tellitud liikuvusanalüüsi eesmärk uurida, kuidas Eesti ühiskond on eriolukorras rakendatud meetmed vastu võtnud ehk kas inimesed on jäänud paiksemaks. Pärast põhjalikku analüüsi on tänaseks selgunud, et kõige kiiremini saab selle analüüsi tehtud, kui see toimub iga operaatori juures.Elisa, Tele2 ja Telia annavad oma parimad andmeteadlased riigi käsutusse, tehes vajalikud arvutused statistikaameti kohandatud metoodika järgi. Mobiilioperaatorite tehtud analüüsid vaatab statistikaamet üle ja positiivse hinnangu korral luuakse sellest koondpilt, mida riik saab soovi korral võtta kasutusele järgnevate piirangute kehtestamisel või seniste leevendamiseks, rääkis Mägi.  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
